■ご利用サービス名
,"au PAY プリペイドカード"

■ご利用年月
,2023年12月

■ご利用明細
,利用日時,利用店舗,種別,利用額（円）,キャンペーン名:キャンペーン額（円）,外貨金額,交換レート,備考
8,"2023/12/13 15:06",ドーナツ,支払い,"1,034",,,,
9,"2023/12/13 15:03",Pontaポイント,チャージ（入金）,"1,800",,,,"auペイメント株式会社/関東財務局長 第00053号"
10,"2023/12/10 6:24","APPLE COM BILL",支払,980,,,,
11,"2023/12/10 6:24",オートチャージ　auじぶん銀行,オートチャージ,980,,,,"auペイメント株式会社/関東財務局長 第00053号"
13,"2023/12/9 21:11",マクドナルド池袋北口店,支払い,"1,060",,,,
15,"2023/12/5 12:31",グランデュオ,支払い,"3,443",,,,
25,"2023/12/1 12:10","au PAY カード",チャージ（入金）,"10,000",,,,
■注意事項
,・ご利用頂いた店舗（加盟店）によっては、本明細に反映されない可能性及び名称が正しく表示されていない可能性があります。
,"・最新の残高については、au PAY サイトにてご確認下さい。"
,・ご利用に応じた付与されるPontaポイントは、実際の利用額と異なる場合があります。

"■問合せ先
